SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,ElectionRound
33478,33477,2018-03-07,Councillors,"Ward Results","Ward 036",Hankawa,Mohamed,APC,FF333C,1046,17.12,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34207,34206,2018-03-07,Councillors,"Ward Results","Ward 236",Turay,Alhassan,NGC,4B0082,1045,14.90,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30830,30829,2018-03-07,Councillors,"Ward Results","Ward 154",Koroma,Osman,C4C,D68910,1027,27.60,No,Provisional,male-blank-profile-photo.png,"First Round"
32561,32560,2018-03-07,Councillors,"Ward Results","Ward 340",Koroma,John,APC,FF333C,1012,16.30,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30418,30417,2018-03-07,Councillors,"Ward Results","Ward 133",Dabor,Foday,NGC,4B0082,1010,27.93,No,Provisional,male-blank-profile-photo.png,"First Round"
30440,30439,2018-03-07,Councillors,"Ward Results","Ward 137",Mansaray,Mamuru,APC,FF333C,1006,43.14,No,Provisional,male-blank-profile-photo.png,"First Round"
30778,30777,2018-03-07,Councillors,"Ward Results","Ward 150",Marrah,Karifa,NGC,4B0082,999,24.92,No,Provisional,male-blank-profile-photo.png,"First Round"
30862,30861,2018-03-07,Councillors,"Ward Results","Ward 149",Suma,Amadu,SLPP,009900,984,14.72,No,Provisional,male-blank-profile-photo.png,"First Round"
34639,34638,2018-03-07,Councillors,"Ward Results","Ward 009",Brima,Malike,APC,FF333C,978,13.35,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32663,32662,2018-03-07,Councillors,"Ward Results","ward 310",Kamara,Hassan,PMDC,F3881E,977,32.10,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30316,30315,2018-03-07,Councillors,"Ward Results","Ward 299",Koroma,Sallu,APC,FF333C,971,18.12,No,Provisional,male-blank-profile-photo.png,"First Round"
34211,34210,2018-03-07,Councillors,"Ward Results","Ward 237",Fofanah,Alpha,NGC,4B0082,969,15.71,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34237,34236,2018-03-07,Councillors,"Ward Results","Ward 239",Kargbo,Adekalie,NGC,4B0082,968,14.36,No,Final/Certified,male-blank-profile-photo.png,"First Round"
